Company Names,Cars Names,Engines,CC/Battery Capacity,Horse Power Final,Total Speed,Performance(0 - 100 )KM/H,Car Prices Final,Fuel Types,Seats,Torque Final
Chevrolet,Tahoe High Country,6.2L V8 Gasoline,6200,420,200,6.7,76700,Petrol,7,624
Bmw,M3 COMPETITION,I6,2993,503,285,3.5,76000,Petrol,5,650
Chevrolet,Silverado 3500HD High Country,6.6L V8 Diesel,6600,445,160,8.5,75700,Diesel,6,1234
Porsche,718 Cayman S,2.5L Turbocharged Flat-4,2497,350,285,4.4,75400,Petrol,2,420
Gmc,Yukon XL Elevation,5.3L V8 engine,5327,355,210,7.4,75000,Petrol,8,519
Gmc,Sierra 2500HD Denali Black Edition,6.6L V8 engine,6600,401,170,7.5,75000,Petrol,5,629
Nissan,Skyline 50th Anniversary,3.0L Twin-Turbo V6,2997,,250,4.5,75000,Petrol,5,475
Porsche,Macan S,2.9L V6 Twin Turbo,2894,,259,4.8,75000,Petrol,5,520
Audi,E-TRON,ELECTRIC ,,402,200,5.5,75000,Electric,5,664
Jaguar Land Rover,Jaguar F-PACE P400e Plug-in Hybrid,I4 Petrol + Electric Motor,,398,220,5.1,75000,Plug-in Hybrid,5,640
Volvo,Volvo FL,5.1L I4 Turbo Diesel,5100,180,80,22,75000,Diesel,2,800
Gmc,Yukon XL AT4,5.3L V8 engine,5327,355,210,7.3,73305,Petrol,8,519
Gmc,Yukon Denali,6.2L V8 Gasoline,6200,420,200,6.8,72800,Petrol,8,624
Gmc,Sierra 2500HD Denali,6.6L V8 Diesel,6600,401,175,7.5,72200,Diesel,6,1234
Porsche,Cayenne Base,3.0L Turbocharged V6,2995,335,245,5.9,72200,Petrol,5,450
Gmc,Sierra 3500HD AT4,6.6L V8 engine,6600,401,170,7.7,72000,Petrol,5,629
Chevrolet,Tahoe Premier,6.2L V8 Gasoline,6200,420,200,6.8,71600,Petrol,7,624
Gmc,Yukon AT4,5.3L V8 engine,5327,355,210,7.1,71505,Petrol,8,519
Mercedes,BENZ GLE 53,V6,2996,429,250,5.2,71000,Petrol,5,620
Nissan,Infiniti QX80*,5.6L V8,5552,,210,6.5,70600,Petrol,7,560
Toyota,COASTER,"4.0L,DIESEL",4009,134,120,,70000,Diesel,20,500
Chevrolet,Tahoe Sport Edition,6.2L V8 Gasoline,6200,420,200,6.8,70000,Petrol,7,624
Nissan,Pathfinder Armada Platinum,5.6L V8,5552,,190,6.8,70000,Petrol,7,560
Volkswagen,California,2.0L Turbo I4,1984,177,180,13,70000,Diesel,7,340
Gmc,Sierra 2500HD AT4,6.6L V8 engine,6600,401,170,7.5,70000,Petrol,5,629
Nissan,President,4.5L V8,4494,,210,7.5,70000,Petrol,5,400
Volkswagen,Amarok V8,4.0L V8 Turbo Diesel,3996,325,210,7.4,70000,Diesel,5,580
Volkswagen,Touareg V8,4.0L V8 Turbo Diesel,3956,421,250,4.9,70000,Petrol,5,770
Ford,F-150 Raptor,3.5L Twin-Turbo V6,3500,450,200,5,70000,Petrol,5,691
Nissan,Skyline 400R,3.0L Twin-Turbo V6,2997,,250,4.5,70000,Petrol,5,475
Mercedes,BENZ CLS 450,V6,2996,362,250,5.2,70000,Petrol,5,500
Volkswagen,Touareg R,Plug-in Hybrid V6,2995,462,250,5.1,70000,Hybrid,5,700
Nissan,Ariya Dual Motor AWD,Dual Electric Motors,,,200,5.1,70000,Electric,5,600
Jaguar Land Rover,Jaguar I-PACE,Electric (Dual Motor),,400,200,4.8,70000,Electric,5,696
Ford,Bronco Raptor,3.0L Twin-Turbo V6,3000,400,220,5.5,70000,Petrol,4,583
Nissan,Skyline GT-R R34,2.6L Twin-Turbo Inline-6,2568,,250,5.6,70000,Petrol,4,392
Jaguar Land Rover,Jaguar F-Type,V6 / V8 Petrol,,335,260,5.1,70000,Petrol,2,450
Jaguar Land Rover,Jaguar F-Type R-Dynamic,I4 Petrol / V6 Petrol,,300,250,5.1,70000,Petrol,2,400
Tesla,Cybertruck,Tri Electric Motors,,800,209,2.9,69900,Electric,6,1355
Porsche,718 Boxster T,2.0L Turbo Flat-4,1988,300,275,4.7,69600,Petrol,2,380
Bmw,X3 M COMPETITION,I6,2993,503,285,4.1,69000,Petrol,5,650
Porsche,Cayenne Diesel (Regional Markets),3.0L Turbo Diesel V6,2967,262,221,7.3,69000,Diesel,5,580
Audi,A7,V6,2995,335,250,5.7,68000,Petrol,5,600
Nissan,Ariya Empower+,Dual Electric Motors,,,200,5.1,68000,Electric,5,600
Chevrolet,Camaro ZL1,6.2L Supercharged V8 Gasoline,6200,650,318,3.5,67300,Petrol,4,881
Nissan,Ariya Premiere,Dual Electric Motors,,,200,5.1,67000,Electric,5,600
Gmc,Sierra Denali,6.2L V8 Gasoline,6200,420,190,6.7,66800,Petrol,6,624
Chevrolet,Tahoe Z71,5.3L V8 Gasoline,5300,355,180,7.6,66700,Petrol,7,519
Jeep,Grand Cherokee Summit Reserve,5.7L V8 Gasoline,5700,357,190,7.3,66575,Petrol,5,529
Chevrolet,Corvette Grand Sport,6.2L V8 Gasoline,6200,460,290,3.9,65900,Petrol,2,630
Chevrolet,Corvette,6.2L V8 Gasoline,6200,495,312,3,65895,Petrol,2,637
Chevrolet,Corvette Stingray,6.2L V8 Gasoline,6200,495,312,3,65895,Petrol,2,637
Chevrolet,Tahoe Midnight Edition,5.3L V8 Gasoline,5300,355,180,7.5,65500,Petrol,8,519
Porsche,718 Boxster,2.0L Turbo Flat-4,1988,300,275,4.9,65500,Petrol,2,380
Nissan,Armada Platinum,5.6L V8,5552,,210,6.5,65300,Petrol,8,560
Gmc,Yukon XL SLT,5.3L V8 engine,5327,355,210,7.3,65000,Petrol,8,519
Gmc,Sierra Denali CarbonPro,6.2L V8 engine,6162,420,200,5.8,65000,Petrol,5,624
Porsche,Macan T,2.0L I4 Turbo,1984,,232,6.2,65000,Petrol,5,400
Kia,EV6 GT Performance,Electric Motor,,577,260,3.5,65000,Electric,5,740
Jaguar Land Rover,Jaguar F-PACE R-Dynamic,I4 Petrol / V6 Petrol,,340,250,5.4,65000,Petrol,5,480
Jaguar Land Rover,Jaguar XF R-Dynamic,I4 Petrol / V6 Petrol,,340,250,5.4,65000,Petrol,5,480
Jaguar Land Rover,Jaguar F-PACE S AWD,I4 Petrol / V6 Petrol,,340,250,5.4,65000,Petrol,5,480
Jaguar Land Rover,Jaguar F-PACE Prestige AWD,I4 Petrol / V6 Petrol,,340,250,5.4,65000,Petrol,5,480
Ford,F-150 Lightning,Electric Motor,,452,180,4.5,65000,Electric,5,1051
Cadillac,Lyriq EV Premium,Dual Electric Motors,,500,210,4.5,64990,Electric,5,620
Ford,F-150 Platinum,Turbocharged V6,3500,400,180,6.5,64695,Petrol,5,678
Ford,F-550 Super Duty,Turbocharged V8 Diesel,6700,475,165,8.8,64540,Diesel,6,1424
Chevrolet,Suburban LT,5.3L V8 Gasoline,5300,355,180,5.1,64400,Petrol,8,519
Chevrolet,Tahoe RST,5.3L V8 Gasoline,5300,355,180,7.4,64100,Petrol,7,519
Audi,S5 COUPE,V6,2995,349,250,4.8,64000,Petrol,4,500
Jeep,Wagoneer,5.7L V8 Gasoline with eTorque,5700,392,190,7.4,63595,Petrol,8,548
Porsche,718 Cayman,2.0L Turbocharged Flat-4,1988,300,275,4.9,63400,Petrol,2,380
Mercedes,BENZ GLE 450,V6,2996,362,250,5.5,63000,Petrol,5,500
Nissan,Ariya Lounge Edition,Dual Electric Motors,,,200,5.1,63000,Electric,5,600
Ford,Expedition,3.5L EcoBoost / 5.4L V8,,388,180,6.5,62500,Petrol,8,725
Chevrolet,Tahoe LT,5.3L V8 Gasoline,5300,355,180,7.4,62495,Petrol,8,519
Mercedes,BENZ E-CLASS E 450 ,V6,2996,362,250,5.2,62000,Petrol,5,500
Audi,SQ5,V6,2995,349,250,5.4,62000,Petrol,5,500
Kia,EV6 First Edition AWD,Electric Motor,,320,230,5,62000,Electric,5,450
Acura,TLX PMC Edition,V6,,290,250,5.7,62000,Petrol,5,362
Gmc,Sierra 3500HD Pro,6.6L V8 engine,6600,401,170,7.8,62000,Petrol,3,629
Nissan,Infiniti FX50*,5.0L V8,5026,,250,5.6,61750,Petrol,5,500
Ford,F-450 Super Duty,Turbocharged V8 Diesel,6700,475,165,8.5,61625,Diesel,6,1424
Chevrolet,Silverado 1500 High Country,5.3L V8 Gasoline,5300,355,180,7,61595,Petrol,6,519
Gmc,Yukon XL,6.2L V8 Gasoline,6200,420,200,6.9,61100,Petrol,8,624
Cadillac,CT4-V Blackwing,3.6L Twin-Turbo V6 Gasoline,3600,472,290,3.9,60495,Petrol,5,603
Nissan,Pathfinder Armada,5.6L V8,5552,,200,6.5,60000,Petrol,7,560
Gmc,Acadia Denali Ultimate,3.6L V6 engine,3564,310,210,6.5,60000,Petrol,7,366
Audi,Q7,V6,2995,335,250,6.3,60000,Petrol,7,600
Volvo,XC90,I6,1969,247,200,6.5,60000,Petrol/Diesel,7,400
Toyota,ALPHARD EXECUTIVE LOUNGE,"2.5L,INLINE-4,HYBRID,OR 3.5L,V6",,296,180,8.5,60000,Petrol,7,400
Volkswagen,ID. Buzz Pro,Electric,,204,145,10.2,60000,Electric,7,310
Acura,MDX Advance,V6,,290,190,6,60000,Petrol,7,362
Nissan,Cima,4.1L V8,4130,,210,8,60000,Petrol,5,390
Volkswagen,Touareg V6,3.0L V6 Turbo Diesel / Gasoline,2967,286,235,7.5,60000,Petrol,5,450
Nissan,Cedric Special Edition,3.0L V6,2960,,225,8.5,60000,Petrol,5,330
Porsche,Macan,2.0L I4 Turbo,1984,,232,6.2,60000,Petrol,5,400
Volvo,S90,I6,1969,295,250,5.9,60000,Petrol/Diesel,5,400
Nissan,Ariya E-4ORCE,Dual Electric Motors,,,200,5.1,60000,Electric,5,600
Kia,EV6 AWD GT-Line,Electric Motor,,320,230,5,60000,Electric,5,450
Jaguar Land Rover,Jaguar XE R-Dynamic,I4 Petrol,,340,250,5.4,60000,Petrol,5,450
Jaguar Land Rover,Jaguar XF Sportbrake,I4 Petrol / V6 Petrol,,250,250,6.5,60000,Petrol,5,400
Jaguar Land Rover,Jaguar F-PACE S 30t AWD,I4 Petrol,,247,225,6.4,60000,Petrol,5,365
Jaguar Land Rover,Jaguar XF Portfolio AWD,I4 Petrol / V6 Petrol,,340,250,5.4,60000,Petrol,5,450
Peugeot,508 PSE,Hybrid I4,,360,250,5.2,60000,Hybrid,5,520
Ford,F-350 Super Duty,6.7L Turbo-Diesel / 7.3L V8,,462,180,,60000,Diesel,5,1125
Ford,Mustang (2024),V8 Gasoline Engine,5000,450,250,4.5,60000,Petrol,4,570
Gmc,Sierra 2500HD Pro,6.6L V8 engine,6600,401,170,7.7,60000,Petrol,3,629
Jaguar Land Rover,Jaguar F-Type P300 Coupe,I4 Petrol,,300,250,5.5,60000,Petrol,2,400
Volkswagen,ID. Buzz,Electric,,204,145,10.2,59995,Electric,7,310
Cadillac,Lyriq Launch Edition,Single Electric Motor,,340,190,5.7,59990,Electric,5,440
Chevrolet,Suburban,5.3L V8 Gasoline,5300,355,190,7.6,59900,Petrol,8,519
Jeep,Grand Cherokee 4xe,2.0L Turbo PHEV,,375,210,6,59865,Hybrid,5,637
Ford,Mustang Shelby GT350,Naturally Aspirated V8,5200,526,280,4,59140,Petrol,2,582
Audi,S4 SEDAN,V6,2995,349,250,4.7,59000,Petrol,5,500
Nissan,Ariya ,Dual Electric Motors,,,200,5.1,58950,Electric,5,600
Cadillac,Lyriq EV,Single Electric Motor,,340,190,5.7,58590,Electric,5,440
Toyota,LAND CRUISER 300,"3.3L,V6,TWIN TURBO DIESEL",3346,305,210,6.8,58500,Petrol/Diesel,7,650
Nissan,Patrol Super Safari Y61,4.8L Inline-6,4750,,190,8.2,58000,Petrol,7,451
Acura,MDX Elite,V6,3500,290,190,6,58000,Petrol,7,362
Audi,A6,V6,2995,335,250,5.7,58000,Petrol,5,600
Porsche,Macan Base,2.0L Turbo Inline-4,1984,265,232,6.4,58000,Petrol,5,400
Kia,EV6 First Edition,Electric Motor,,320,230,5,58000,Electric,5,450
Gmc,Yukon,5.3L V8 Gasoline,5300,355,180,7.4,57400,Petrol,8,519
Cadillac,XT6 Sport,3.6L V6 Gasoline,3600,310,210,6.9,57095,Petrol,7,366
Bmw,M340i XDRIVE,I6,2998,382,250,4.1,57000,Petrol,5,500
Bmw,530i,I4,1998,248,250,5.9,57000,Petrol,5,400
Chevrolet,Tahoe LS,5.3L V8 Gasoline,5300,355,180,7.5,56995,Petrol,8,519
Chevrolet,Tahoe,5.3L V8 Gasoline,5300,355,200,7.5,56995,Petrol,7,519
Ford,Explorer Platinum,Turbocharged V6,3000,400,230,6,56505,Petrol,7,563
Chevrolet,Silverado 2500HD LTZ,6.6L V8 Diesel,6600,445,160,8.4,56400,Diesel,6,1234
Gmc,Sierra 1500 SLT,5.3L V8 engine,5327,355,180,6.8,56000,Petrol,5,519
Toyota,TUNDRA I-FORCE MAX,"3.5L,V6,HYBRID TWIN-TURBO",3445,437,180,6.2,56000,Hybrid,5,750
Chevrolet,Silverado 1500 Trail Boss,5.3L V8 Gasoline,5300,355,180,7,55895,Petrol,6,519
Nissan,Patrol Super Safari,4.8L Inline-6,4750,,190,8.2,55000,Petrol,7,451
Acura,MDX Hybrid,V6 Hybrid,3500,321,190,6,55000,Hybrid,7,335
Acura,MDX SH-AWD w/Technology Package,V6,3500,290,190,6,55000,Petrol,7,362
Mazda,CX-90,3.3L Inline-6 Turbo,3300,340,240,6.2,55000,Petrol,7,500
Ford,Explorer (2024),V6 Turbocharged,3000,400,230,5.9,55000,Petrol,7,563
Toyota,FORTUNER GR SPORT,"2.8L,TURBO,DIESEL",2755,204,175,10.5,55000,Petrol/Diesel,7,500
Toyota,PROACE VERSO ELECTRIC,ELECTRIC MOTOR,,136,130,13.5,55000,Electric,7,280
Acura,MDX SH-AWD,V6,,290,190,6,55000,Petrol,7,362
Nissan,Titan XD,5.6L V8,5552,,195,6.9,55000,Petrol,6,560
Nissan,Titan Warrior,5.6L V8,5552,,180,7,55000,Petrol,5,560
Gmc,Canyon AT4X Edition 1,3.6L V6 engine,3564,308,180,6.8,55000,Petrol,5,373
Hyundai,Azera,3.3L V6,3300,278,240,6.5,55000,Petrol,5,250
Hyundai,Equus,3.3L V6,3300,278,240,6.5,55000,Petrol,5,400
Nissan,Skyline NISMO,3.0L Twin-Turbo V6,2997,,270,4.7,55000,Petrol,5,475
Kia,Stinger Scorpion Edition,2.5L Turbocharged 4-Cylinder,2500,300,270,5,55000,Petrol,5,422
Volvo,XC60,I6,1969,247,220,6.4,55000,Petrol/Diesel,5,400
Volkswagen,Touareg,3.0L V6 Turbo Diesel / 4.0L V8,,366,235,5.9,55000,Petrol/Diesel,5,600
Peugeot,508 PSE (Peugeot Sport Engineered),Hybrid I4 + Electric Motor,,360,250,5.2,55000,Hybrid,5,520
Jaguar Land Rover,Jaguar XE S,I4 Petrol,,340,250,5.3,55000,Petrol,5,450
Jaguar Land Rover,Jaguar XE P300 R-Dynamic,I4 Petrol,,300,250,5.5,55000,Petrol,5,400
Jaguar Land Rover,Jaguar E-PACE R-Dynamic,I4 Petrol,,246,230,6.8,55000,Petrol,5,430
Jaguar Land Rover,Jaguar XE R-Sport AWD,I4 Petrol / V6 Petrol,,300,250,5.5,55000,Petrol,5,400
Acura,RDX Platinum Elite,I4 Turbocharged,,272,210,6.6,55000,Petrol,5,400
Peugeot,308 PSE,Hybrid I4,,360,250,5,55000,Hybrid,5,520
Ford,F-150,3.3L V6 / 5.0L V8 / 3.5L EcoBoost,,370,200,,55000,Petrol/Diesel,5,550
Ford,F-250 Super Duty,6.2L V8 / 7.3L V8 / 6.7L Turbo-Diesel,,430,180,,55000,Petrol/Diesel,5,875
Ford,Mustang,5.0L V8,5000,450,250,4.3,55000,Petrol,4,530
Nissan,300ZX Turbo,3.0L Twin-Turbo V6,2960,,250,5.9,55000,Petrol,4,384
Volkswagen,ID. Buzz Cargo,Electric,,204,145,10.2,55000,Electric,3,310
Mitsubishi,Fuso Canter Eco Hybrid,3.0L Diesel Hybrid,3000,150,120,,55000,Diesel Hybrid,2,370
Volkswagen,ID. Buzz Cargo Pro,Electric,,204,145,10.2,55000,Electric,2,310
Volkswagen,ID. Buzz Cargo EV,Electric,,204,145,10.2,55000,Electric,2,310
Gmc,Acadia Denali,3.6L V6 engine,3564,310,210,6.5,54300,Petrol,7,366
Acura,TLX Type S PMC Edition,Turbocharged V6,3000,355,250,5.1,54000,Petrol,5,480
Mercedes,BENZ GLC 43,V6,2996,402,250,4.7,54000,Petrol,5,520
Toyota,GR SUPRA,I4,2998,382,250,4.1,53900,Petrol,2,500
Gmc,Sierra 1500 AT4,5.3L V8 Gasoline,5300,355,180,7.4,53800,Petrol,6,519
Tesla,Model 3 Performance,Dual Electric Motors (AWD),,450,261,3.1,53240,Electric,5,660
Kia,Telluride Limited Edition,3.8L V6,3778,291,240,7,53000,Petrol,7,355
Ford,Explorer Plug-in Hybrid,V6 Hybrid + Electric Motor,,457,225,6,53000,Hybrid,7,825
Mercedes,BENZ CLA 45 AMG,I4,1991,382,250,4.1,53000,Petrol,5,500
Mercedes,BENZ A-CLASS A 45 S,I4,1991,416,250,3.9,53000,Petrol,5,500
Mercedes,BENZ GLE 350 ,I4,1991,255,250,6.1,53000,Petrol,5,500
Ford,Explorer Hybrid,3.3L V6 + Electric,3300,318,180,7.5,52500,Hybrid,7,500
Toyota,MIRAI,I4,1798,151,180,9.2,52400,Hydrogen,5,335
Ford,Transit Electric (E-Transit),Electric Motor,,266,140,9,52000,Electric,12,430
Hyundai,Palisade,3.8L V6,3800,291,240,6.3,52000,Petrol,7,355
Kia,Telluride SX Prestige,3.8L V6,3778,291,240,7,52000,Petrol,7,355
Acura,MDX Sport Hybrid,V6 Hybrid,3500,321,190,6,52000,Hybrid,7,335
Ford,Everest,Turbocharged Inline-4,2000,210,190,10.5,52000,Diesel,7,500
Hyundai,Genesis,3.8L V6,3800,291,240,6.3,52000,Petrol,5,400
Mercedes,BENZ C-CLASS C 43,V6,2996,402,250,4.7,52000,Petrol,5,520
Gmc,Sierra 1500 Elevation,2.7L Turbo engine,2713,310,180,7,52000,Petrol,5,569
Audi,S3 SEDAN,I4,1984,306,250,4.8,52000,Petrol,5,400
Ford,Mustang Mach-E,Electric Motor,,385,180,,52000,Electric,5,
Jeep,Gladiator Mojave Edition,3.6L V6 Pentastar Gasoline,3600,285,177,8.6,51570,Petrol,5,353
Kia,Stinger GT,3.3L Turbocharged V6,3300,365,270,4.7,51500,Petrol,5,510
Cadillac,XT5 Sport,3.6L V6 Gasoline,3600,310,210,6.5,51095,Petrol,5,366
Nissan,Armada,5.6L V8,5552,,210,6.5,51000,Petrol,8,560
Kia,Telluride Nightfall Edition,3.8L V6,3778,291,240,7,51000,Petrol,7,355
Cadillac,CT5-V,3.0L Twin-Turbo V6 Gasoline,3000,360,250,4.6,50995,Petrol,5,550
Chevrolet,Silverado 1500 RST,5.3L V8 Gasoline,5300,355,180,7.1,50895,Petrol,6,519
Jeep,Wrangler 4xe,2.0L Turbo PHEV,,375,180,6.4,50695,Hybrid,5,637
Tesla,Model Y Long Range,Dual Electric Motors (AWD),,384,217,4.8,50490,Electric,5,559
Toyota,TOYOTA SEQUOIA,V8,5663,381,200,6.9,50000,Petrol,7,651
Kia,Telluride SX,3.8L V6,3778,291,240,7,50000,Petrol,7,355
Nissan,Elgrand,3.5L V6,3498,,200,8.5,50000,Petrol,7,344
Hyundai,SANTA FE,1.6L PETROL + PLUG IN HYBRID SYSTEM,1600,253,180,9.3,50000,Petrol/Hybrid,7,420
Volkswagen,Multivan,Plug-in Hybrid / Diesel I4,,184,190,9.4,50000,Petrol/Hybrid,7,350
Toyota,4Runner (6th Gen),2.4L Turbo I4 (i-FORCE MAX Hybrid),,326,180,6.8,50000,Hybrid,7,630
Nissan,Infiniti M45*,4.5L V8,4494,,250,5.8,50000,Petrol,5,451
Nissan,Infiniti Q45*,4.5L V8,4494,,240,6.2,50000,Petrol,5,450
Gmc,Canyon AT4X,3.6L V6 engine,3564,308,180,6.9,50000,Petrol,5,373
Acura,TLX 3.5L V6,V6,3500,290,250,5.7,50000,Petrol,5,362
Nissan,Skyline,3.0L V6 Twin-Turbo,2997,,250,5,50000,Petrol,5,475
Nissan,Gloria Gran Turismo,3.0L V6 Turbo,2960,,220,6.5,50000,Petrol,5,340
Toyota,HILUX GR SPORT,"2.8L,TURBO,DIESEL",2755,224,170,10,50000,Petrol/Diesel,5,500
Toyota,HILUX REVO ROCCO,"2.8L,TURBO,DIESEL",2755,204,175,10,50000,Diesel,5,500
Kia,Stinger GT-Line,2.5L Turbocharged 4-Cylinder,2500,300,270,5,50000,Petrol,5,422
Nissan,Infiniti QX55*,2.0L VC-Turbo Inline-4,1997,,230,6.5,50000,Petrol,5,380
Volkswagen,Arteon Shooting Brake,2.0L I4 Turbo,1984,235,250,5.6,50000,Petrol,5,420
Volkswagen,Arteon R-Line,2.0L I4 Turbo,1984,235,250,5.6,50000,Petrol,5,420
Volkswagen,Arteon 280 TSI,2.0L I4 Turbo,1984,280,250,5.6,50000,Petrol,5,350
Acura,RDX Hybrid,Inline-4 Hybrid,1500,247,210,6.6,50000,Hybrid,5,400
Volkswagen,ID.4 GTX,Electric AWD,,299,180,6.2,50000,Electric,5,460
Kia,EV6 Wind,Electric Motor,,225,190,5.2,50000,Electric,5,350
Jaguar Land Rover,Jaguar XF,I4 Petrol,,250,250,6.5,50000,Petrol,5,365
Jaguar Land Rover,Jaguar E-PACE,I4 Petrol,,200,230,7,50000,Petrol,5,430
Jaguar Land Rover,Jaguar E-PACE S,I4 Petrol,,200,230,7,50000,Petrol,5,430
Jaguar Land Rover,Jaguar XE SE,I4 Petrol,,250,240,6.2,50000,Petrol,5,365
Acura,TLX A-Spec,V6,,290,250,5.7,50000,Petrol,5,362
Acura,RDX SH-AWD,I4 Turbocharged,,272,210,6.6,50000,Petrol,5,400
Acura,TLX A-Spec Sedan,V6,,290,250,5.7,50000,Petrol,5,362
Peugeot,3008 PSE,Hybrid I4,,300,235,6,50000,Hybrid,5,400
Nissan,300ZX,3.0L Twin-Turbo V6,2960,,250,5.9,50000,Petrol,4,384
Toyota,LAND CRUISER PRADO,V6,3956,282,200,7.2,49400,Petrol/Diesel,7,450
Kia,Sorento X-Pro Hybrid,1.6L Hybrid Turbocharged 4-Cylinder,1591,227,200,7.8,49000,Hybrid,7,352
Gmc,Sierra 3500HD,6.6L V8 Diesel,6600,445,175,7.4,49000,Diesel,6,1234
Mercedes,BENZ E-CLASS E 350,I4,1991,255,250,5.7,49000,Petrol,5,500
Audi,TT COUPE,I4,1984,248,250,5.3,49000,Petrol,2,400
Chevrolet,Blazer RS,3.6L V6 Gasoline,3600,308,220,6.6,48900,Petrol,5,366
Cadillac,XT6,3.6L V6 Gasoline,3600,310,210,6.9,48595,Petrol,7,366
Chevrolet,Colorado ZR2,2.8L Turbo Diesel I4,2800,181,160,9.1,48295,Diesel,5,500
Kia,Sorento SX Prestige,2.5L Hybrid Turbocharged 4-Cylinder,1591,227,200,7.9,48000,Hybrid,7,352
Peugeot,5008 GT Hybrid,Hybrid I4,,300,210,6.5,48000,Hybrid,7,400
Gmc,Canyon Denali,2.7L Turbo 4-cylinder,2700,310,190,7.5,48000,Petrol,5,583
Mercedes,BENZ GLA 45,I4,1991,382,250,4.3,48000,Petrol,5,500
Volkswagen,Arteon 4MOTION,2.0L Turbo I4,1984,255,250,5.6,48000,Petrol,5,350
Bmw,430i COUPE,I4,1998,255,250,5.8,48000,Petrol,4,400
Nissan,Fairlady Z Heritage,3.0L Twin-Turbo V6,2997,,250,4.2,48000,Petrol,2,475
Mitsubishi,Pajero Final Edition,3.2L Diesel Turbo,3200,189,180,10.5,47500,Diesel,7,441
Mitsubishi,Pajero GLS,3.2L Diesel Turbo,3200,189,180,10.5,47500,Diesel,7,441
Mazda,CX-80,3.0L Inline-6,3000,250,210,7.5,47500,Petrol,7,400
Mitsubishi,Pajero SWB (Short Wheel Base),3.2L Diesel Turbo,3200,189,180,10.5,47500,Diesel,5,441
Tesla,Model Y,Single Electric Motor (RWD),,346,217,5,47490,Electric,5,498
Kia,Carnival SX Prestige,3.5L V6,3500,290,220,8,47000,Petrol,8,355
Kia,Sorento Hybrid SX Prestige,1.6L Hybrid Turbocharged 4-Cylinder,1591,227,200,7.9,47000,Hybrid,7,352
Kia,Sorento Hybrid EX,1.6L Hybrid Turbocharged 4-Cylinder,1591,227,200,7.9,47000,Hybrid,7,352
Peugeot,508 Hybrid4,Hybrid I4 + Electric Motor,,300,235,6,47000,Hybrid,5,520
Nissan,Murano CrossCabriolet,3.5L V6,3498,,195,7.6,47000,Petrol,4,325
Chevrolet,Traverse Premier,3.6L V6 Gasoline,3600,310,210,7,46600,Petrol,7,360
Cadillac,CT4-V,2.7L Turbo Inline-4 Gasoline,2700,325,260,4.9,46595,Petrol,5,500
Jeep,Compass 4xe,1.3L Turbo PHEV,,240,200,7.3,46500,Hybrid,5,270
Acura,TLX V6 Advance,V6,3500,290,250,5.7,46000,Petrol,5,362
Mercedes,BENZ GLC 350 ,I4,1991,255,250,6.1,46000,Petrol,5,500
Volkswagen,Arteon,2.0L Turbo I4,1984,215,250,5.6,46000,Petrol,5,350
Nissan,X-Trail Platinum Edition,1.5L Turbo Hybrid,1497,,190,8,46000,Hybrid,5,305
Kia,EV6 Light,Electric Motor,,225,190,5.2,46000,Electric,5,350
Nissan,370Z NISMO,3.7L V6,3696,,250,5.2,45790,Petrol,2,374
Kia,Carnival Special Edition,3.5L V6,3500,290,220,8,45500,Petrol,8,355
Chevrolet,Silverado 3500HD,6.6L V8 Diesel,6600,445,160,8.5,45500,Diesel,6,1234
Nissan,Patrol Y60,4.2L Inline-6,4169,,160,12,45000,Diesel,7,330
Gmc,Acadia Black Edition,3.6L V6 engine,3564,310,210,6.5,45000,Petrol,7,366
Ford,Explorer,2.3L EcoBoost / 3.0L V6,,350,200,6,45000,Petrol,7,460
Chevrolet,Blazer Premier,3.6L V6 Gasoline,3600,308,220,6.6,45000,Petrol,5,366
Nissan,Maxima Platinum,3.5L V6,3498,,220,6.2,45000,Petrol,5,353
Volkswagen,Amarok V6,3.0L V6 Turbo Diesel,2967,231,191,7.9,45000,Diesel,5,580
Nissan,Leopard J. Ferie,3.0L V6 Turbo,2960,,215,6.5,45000,Petrol,5,340
Gmc,Sierra Elevation,2.7L Turbo 4-cylinder,2700,310,190,7.6,45000,Petrol,5,583
Ford,Ranger Raptor,2.7L Twin-Turbo V6,2700,392,200,6,45000,Petrol,5,583
Ford,Bronco (2024),V6 EcoBoost,2700,310,200,6.7,45000,Petrol,5,542
Mitsubishi,Lancer Evolution X,2.0L Turbocharged,2000,291,240,5,45000,Petrol,5,407
Bmw,330i,I4,1998,255,250,5.6,45000,Petrol,5,400
Volkswagen,Tiguan R-Line,2.0L I4 Turbo,1984,210,250,4.9,45000,Petrol,5,420
Volkswagen,Polo GTI R5,1.6L Turbocharged Rally Engine,1598,272,200,4.1,45000,Petrol,5,400
Acura,RDX Turbo AWD,Inline-4 Turbocharged,1500,272,210,6.6,45000,Petrol,5,400
Volkswagen,ID.5,Electric,,236,180,8.4,45000,Electric,5,310
Volkswagen,ID.4 Pro S,Electric,,201,180,7.8,45000,Electric,5,310
Volkswagen,ID.3 GTX,Electric,,299,180,6.2,45000,Electric,5,310
Peugeot,3008 Hybrid4,Hybrid I4+ Electric Motor,,300,235,6,45000,Hybrid,5,520
Jaguar Land Rover,Jaguar XE,I4 Petrol,,250,250,6.5,45000,Petrol,5,365
Acura,RDX Technology,I4 Turbocharged,,272,210,6.6,45000,Petrol,5,400
